=================================	INIT TIME:	2023-06-21 19:15:09	=====================================
[2023-06-21 19:15:09]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '19953']	[STATUS => 1]
[2023-06-21 19:15:10]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '19945']	[STATUS => 1]
[2023-06-21 19:15:12]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '19939']	[STATUS => 1]
[2023-06-21 19:15:13]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '19936']	[STATUS => 1]
[2023-06-21 19:15:14]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '19933']	[STATUS => 1]
[2023-06-21 19:15:16]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '19929']	[STATUS => 1]
[2023-06-21 19:15:17]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '19920']	[STATUS => 1]
[2023-06-21 19:15:19]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '19781']	[STATUS => 1]
[2023-06-21 19:15:20]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '19769']	[STATUS => 1]
[2023-06-21 19:15:21]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '19301']	[STATUS => 1]
[2023-06-21 19:15:22]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '19250']	[STATUS => 1]
[2023-06-21 19:15:24]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '19275']	[STATUS => 1]
[2023-06-21 19:15:25]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '19262']	[STATUS => 1]
[2023-06-21 19:15:26]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '19246']	[STATUS => 1]
[2023-06-21 19:15:28]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '18857']	[STATUS => 1]
[2023-06-21 19:15:29]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '18877']	[STATUS => 1]
[2023-06-21 19:15:31]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '18890']	[STATUS => 1]
[2023-06-21 19:15:32]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '14643']	[STATUS => 1]
[2023-06-21 19:15:34]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '18866']	[STATUS => 1]
[2023-06-21 19:15:35]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17252']	[STATUS => 1]
[2023-06-21 19:15:36]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17251']	[STATUS => 1]
[2023-06-21 19:15:38]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17250']	[STATUS => 1]
[2023-06-21 19:15:39]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17249']	[STATUS => 1]
[2023-06-21 19:15:40]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17248']	[STATUS => 1]
[2023-06-21 19:15:41]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17247']	[STATUS => 1]
[2023-06-21 19:15:43]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17246']	[STATUS => 1]
[2023-06-21 19:15:44]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17245']	[STATUS => 1]
[2023-06-21 19:15:45]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17244']	[STATUS => 1]
[2023-06-21 19:15:47]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17243']	[STATUS => 1]
[2023-06-21 19:15:48]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17242']	[STATUS => 1]
[2023-06-21 19:15:50]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17240']	[STATUS => 1]
[2023-06-21 19:15:51]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17230']	[STATUS => 1]
[2023-06-21 19:15:53]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17229']	[STATUS => 1]
[2023-06-21 19:15:54]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17227']	[STATUS => 1]
[2023-06-21 19:15:56]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17226']	[STATUS => 1]
[2023-06-21 19:15:57]	Processing -> 	[Post_Type: 'hotel_room']	[Post_ID: '17225']	[STATUS => 1]
